Unnamed: 0,Model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
82,"'Lsa', 'Tr', 'LDA'",0.0498374342610392,0.1061632053501247,0.0466911884028248,0.0336973681417533,0.0581716422331911,0.0256133608751204,0.0292846859714562,0.0507015448377677,0.0295099778023233,0.041380846419021,0.0979442274853144,0.0362332508994801
83,"'Lsa',",0.0522712237596685,0.0909742431010086,0.0472559124223122,0.0288641055865595,0.0527063398271851,0.021265344793452,0.0289062875071637,0.0498285613627593,0.0252079000900581,0.0376432224198319,0.0892724632517522,0.0311111749751328
84,"'Luhn', 'LDA'",0.0576369211219548,0.0996112719124762,0.0663540439197457,0.0397070347997511,0.0597270695116277,0.0345352517377339,0.0350690585167071,0.0649253269926797,0.0351833842528297,0.0420560934415855,0.0906008277863253,0.0394453511449746
85,"'Luhn', 'Lsa'",0.056606249654963,0.1031096259333064,0.0578511234313518,0.0381567162576573,0.0691324809990066,0.0294407638679375,0.0348097891180012,0.065547218511619,0.0315924832130583,0.0407794343941102,0.0900122899163936,0.0377915770171041
86,"'Luhn', 'Lsa', 'LDA'",0.0635231391079475,0.1010525197870847,0.0648050825429939,0.0396001764090919,0.0674126629293558,0.0301922113741205,0.0372040243547857,0.0578952635588887,0.0362974705075743,0.0418987406503477,0.0854573452349763,0.0403570920147441
87,"'Luhn', 'Lsa', 'Tr'",0.0533233132902319,0.1060690541623075,0.0553085805098466,0.0361257317283373,0.0610066438874017,0.0289718569116272,0.0355814881719682,0.0605383291046271,0.0356125423658416,0.0395948747825088,0.0935028699971024,0.0364300037451595
88,"'Luhn', 'Lsa', 'Tr', 'LDA'",0.0511781284664976,0.1039769146969346,0.0528962003756829,0.0360718048058363,0.0603409593770773,0.0290392104693094,0.0347533956068421,0.0568471217233287,0.0352453165743412,0.0401789824891727,0.0983454982257784,0.0366683656319799
89,"'Luhn', 'Tr'",0.0674139985028995,0.1265253712678531,0.0749262601739369,0.0435934742009374,0.0604619662407875,0.0439538490536517,0.0389008969408343,0.0637750868105644,0.0484043884652521,0.0558787983223543,0.1088661609174669,0.0555494632549028
90,"'Luhn', 'Tr', 'LDA'",0.0622355613933895,0.1109143243048115,0.0663336077211082,0.0396080651554025,0.0572501923252367,0.0347689669652376,0.0376918157468007,0.0609788278569579,0.0412900860458507,0.0496261080320052,0.09710521054451,0.0460045406620349
91,"'Luhn',",0.0552994541352767,0.1114848963309787,0.0647999882001893,0.0398351113879549,0.0630828689190958,0.0338959944494377,0.0322188570148046,0.0691326774236753,0.0326798873232603,0.0382407546885379,0.0962327471872526,0.0373552866723826
92,"'Tm', 'LDA'",0.0618591404561906,0.0880535181394678,0.0651513017769173,0.0329893239097329,0.053246838841674,0.0258639730503717,0.0330809151982621,0.0504673487855238,0.0335047391984904,0.0423571885096227,0.0780461742477894,0.0425984703530354
93,"'Tm', 'Lex'",0.0610253443672532,0.1025830642284064,0.0600988388035236,0.0326190886875846,0.0590964012521697,0.024940780570403,0.0310509955043072,0.0572773752258774,0.0309128631217326,0.0421457650800694,0.0860211839940876,0.0407634986127164
94,"'Tm', 'Lex', 'LDA'",0.0555431592139031,0.0899319837551004,0.0551272026384858,0.0331058552999593,0.055043519492494,0.02516328660783,0.0309956894023156,0.0507580961208013,0.0301058390109492,0.0412342589243768,0.0824114902120549,0.0385865975979276
95,"'Tm', 'Lex', 'Lsa'",0.0585855825158665,0.0976425902006869,0.0555072698260876,0.030539154904311,0.0557983330542338,0.0233299855754424,0.0311056429596973,0.0577290576377674,0.0288891421724666,0.0433909293312202,0.0867813269411902,0.038531628115721
96,"'Tm', 'Lex', 'Lsa', 'LDA'",0.0536536102157571,0.0926392766870855,0.0530350365508533,0.0294139819812433,0.0536387595384409,0.0221635886787444,0.0340930568418658,0.0535866910477481,0.0316283100333763,0.0386864399796346,0.0864739700719239,0.0346617697202818
97,"'Tm', 'Lex', 'Lsa', 'Tr'",0.0514314560985632,0.1035013058599567,0.0498530581500763,0.0347701898080925,0.0625364595783591,0.0265396390777245,0.0342752345306003,0.0596089282055004,0.0329722093786882,0.0412790237459468,0.0927653525746432,0.0384938200805942
98,"'Tm', 'Lex', 'Lsa', 'Tr', 'LDA'",0.051988800919999,0.1008675600796333,0.0495476252016236,0.0354239530468874,0.0619088119164614,0.0268556332165337,0.0331280084944524,0.0497354103843457,0.032434874191675,0.0362647707740002,0.0900481406906548,0.0343000107907887
99,"'Tm', 'Lex', 'Luhn'",0.0595304659695025,0.0976597392128433,0.066007192514547,0.0384924824566272,0.0658421322448331,0.0304862671094626,0.0338203535176192,0.0595556261522199,0.0351796614129195,0.036937454263691,0.0861330414726737,0.0382440700799038
