,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
1856,tensor(0.4530),tensor(1.),tensor(0.2929),tensor(0.4358),tensor(0.9750),tensor(0.2806),tensor(0.4530),tensor(1.),tensor(0.2929),tensor(0.4530),tensor(1.),tensor(0.2929)
1857,tensor(0.2547),tensor(1.),tensor(0.1459),tensor(0.2438),tensor(0.9750),tensor(0.1393),tensor(0.1677),tensor(0.6585),tensor(0.0961),tensor(0.1739),tensor(0.6829),tensor(0.0996)
1858,tensor(0.2111),tensor(0.7000),tensor(0.1243),tensor(0.1218),tensor(0.4138),tensor(0.0714),tensor(0.1809),tensor(0.6000),tensor(0.1065),tensor(0.1809),tensor(0.6000),tensor(0.1065)
1859,tensor(0.3008),tensor(0.3636),tensor(0.2564),tensor(0.0611),tensor(0.0741),tensor(0.0519),tensor(0.1955),tensor(0.2364),tensor(0.1667),tensor(0.1955),tensor(0.2364),tensor(0.1667)
1860,tensor(0.3268),tensor(0.7812),tensor(0.2066),tensor(0.2384),tensor(0.5806),tensor(0.1500),tensor(0.3007),tensor(0.7188),tensor(0.1901),tensor(0.3007),tensor(0.7188),tensor(0.1901)
1861,tensor(0.2500),tensor(0.7407),tensor(0.1504),tensor(0.2405),tensor(0.7308),tensor(0.1439),tensor(0.2500),tensor(0.7407),tensor(0.1504),tensor(0.2500),tensor(0.7407),tensor(0.1504)
1862,tensor(0.3862),tensor(0.8000),tensor(0.2545),tensor(0.3077),tensor(0.6471),tensor(0.2018),tensor(0.3448),tensor(0.7143),tensor(0.2273),tensor(0.3448),tensor(0.7143),tensor(0.2273)
1863,tensor(0.2340),tensor(0.9429),tensor(0.1336),tensor(0.2000),tensor(0.8235),tensor(0.1138),tensor(0.1702),tensor(0.6857),tensor(0.0972),tensor(0.1702),tensor(0.6857),tensor(0.0972)
1864,tensor(0.3177),tensor(1.),tensor(0.1888),tensor(0.3055),tensor(0.9767),tensor(0.1810),tensor(0.2383),tensor(0.7500),tensor(0.1416),tensor(0.2383),tensor(0.7500),tensor(0.1416)
1865,tensor(0.5229),tensor(0.8511),tensor(0.3774),tensor(0.4238),tensor(0.6957),tensor(0.3048),tensor(0.4183),tensor(0.6809),tensor(0.3019),tensor(0.4183),tensor(0.6809),tensor(0.3019)
1866,tensor(0.3140),tensor(0.6923),tensor(0.2030),tensor(0.2118),tensor(0.4737),tensor(0.1364),tensor(0.2326),tensor(0.5128),tensor(0.1504),tensor(0.2791),tensor(0.6154),tensor(0.1805)
1867,tensor(0.1596),tensor(0.3542),tensor(0.1030),tensor(0.0284),tensor(0.0638),tensor(0.0183),tensor(0.1033),tensor(0.2292),tensor(0.0667),tensor(0.1127),tensor(0.2500),tensor(0.0727)
1868,tensor(0.4901),tensor(1.),tensor(0.3246),tensor(0.4832),tensor(1.),tensor(0.3186),tensor(0.4901),tensor(1.),tensor(0.3246),tensor(0.4901),tensor(1.),tensor(0.3246)
1869,tensor(0.3636),tensor(1.),tensor(0.2222),tensor(0.3558),tensor(1.),tensor(0.2164),tensor(0.3636),tensor(1.),tensor(0.2222),tensor(0.3273),tensor(0.9000),tensor(0.2000)
1870,tensor(0.0952),tensor(0.4118),tensor(0.0538),tensor(0.),tensor(0.),tensor(0.),tensor(0.0680),tensor(0.2941),tensor(0.0385),tensor(0.0680),tensor(0.2941),tensor(0.0385)
1871,tensor(0.3153),tensor(0.6957),tensor(0.2038),tensor(0.2289),tensor(0.5111),tensor(0.1474),tensor(0.2365),tensor(0.5217),tensor(0.1529),tensor(0.2660),tensor(0.5870),tensor(0.1720)
